coagulation,change to a thick and solid state
gallant,brave,behaves well with women"
opaqueness,dullness/not allowing light to pass through
liberality,free giving; generosity
gerontocracy,government ruled by old people
aggravate,make worse; irritate
patron,regular customer person who gives support
vigorous,strong energetic
premature,doing or happening something before the right time
catalyst,substance that causes speeding up
meticulous,giving great attention to details
odor,smell
redeem,get back by payment compensate
entice,attract, lure"
erratic,irregular in behaviour or opinion
recuperate,become strong after illness loss exhaustion
affinity,close connection; relationship
chortle,loud chuckle of pleasure or amusement
massacre,cruel killing of a large number of people
evasive,tending to evade
fission,splitting or division (esp. of cells)
ambivalent,having both of two contrary meanings
agile,active; quick-moving
tonic,something giving strength or energy
reminiscent,suggest something in the past
combustion,process of burning
superimpose,put something on the top
encapsulate,enclose in capsule
sanction,approval (by authority) penalty
colloquial,involving or using conversation.
enzyme,catalyst
treacherous,not to be trusted, perfidious"
philanthropist,one who loves mankind
edify,instruct; correct morally
dexterity,skill (esp. in handling)
calipers,metal supports attached to the legs measuring instrument
grumble,to complain
sequence,succession connected line of
introvert,one who turns towards himself
perish,be destroyed decay
partisan,one-sided committed to a party biased or prejudiced
weigh,measure how heavy something is
centurion,leader of a unit of 100 soldiers
divergence,getting farther apart from a point
moribund,in a dying state; near death
equilibrium,state of being balanced
constrict,make tight or smaller
narcissism,Self-love
sobriety,quality or condition of being sober
retrograde,receding
fidelity,loyalty accuracy
tadpole,form of a frog when it leaves the egg
enigma,something that is puzzling
refine,make or become pure cultural
arrogance,proud; superior manner of behaviour
pilferer,to steal, especially in small quantities"
volatile,changeable inconstant fickle unstable explosive
sadistic,Cruel
heterogeneous,made up of different kinds
salvage,the saving of property from loss
suffocate,cause or have difficulty in breathing
accolade,praise; approval
predominate,have more power than others
indistinct,not easily heard; seen clearly marked
amalgamate,mix; combine; unite societies
arcane,known or understood by very few
adulteration,making unpure; poorer in quality
evoke,call up bring out
renovate,restore something to better condition
impromptu,without preparation
allegiance,duty support loyalty
surcharge,additional load/charge
rejuvenation,becoming young in nature or appearance
misogynist,one who hates women/females
console,give comfort or sympathy to
hypocrisy,falsely making oneself appear to be good
luminary,star; light-giving body
extinguish,end the existence of/wipe or put out
commuter,person who travels regularly
torque,twisting force causing rotation
unscathed,unharmed unhurt
foster,nurture; care for
scribble,write hastily
beguile,mislead or delude; cheat; pass time
resuscitation,coming back to consciousness
somersault,rolling backward or forward (not sideways) movement
dupe,cheat make a fool of
legacy,Bequest or inheritance
clientele,customers
nihilism,total rejection of all religious and moral beliefs
curriculum,course of study
scent,smell (especially pleasant)
submerge,put under water liquid sink out of sight
shallow,little depth; not earnest
judicious,sound in judgment; wise
ossified,turned to bone; hardened like bone; Inflexible
writ,written order
timid,shy easily frightened
riddle,puzzling person or thing
reiterate,say or do again several times
recitals,a number of performance of music
sawdust,tiny bits of wood
extralegal,outside the law
indulgent,inclined to indulge
adorn,add beauty; decorate
flop,fail/move/fall clumsily
loll,rest to sit or stand in a lazy way hang (dog's tongue)
connote,Suggest or imply in addition to the precise, literal meaning"
yarn,tale story fibers for knitting
fragrant,sweet-smelling
ambidextrous,able to use the left hand or the right equally well
pertain,belong as a part have reference
spear,weapon with a metal point on a long shaft
turbulence,being uncontrollably violent
malleable,yielding easily shaped; moldable; adapting
dwarf,person much smaller the usual size
disrobe,undress
pluck,pull the feathers off pick (e.g.. flowers)
steeply,rising or falling sharply
garrulous,too talkative
stride,walk with long steps
sanity,health of mind soundness of judgment
inclined,directing the mind in a certain direction
eloquence,fluent speaking skillful use of language
ambiguous,doubtful; uncertain
pest,destructive thing or a person who is nuisance
asterisk,the mark * (e.g.. omitted letters)
mesmerize,hypnotize
chisel,steel tool for shaping materials
perjury,willful FALSE statement unlawful act
incongruous,out of place; not in harmony or agreement
alleviate,make (pain) easier to bear
dislodge,move force from the place occupied
